FoodID,Calories_per_100g,Protein_g_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Vit_A_IU_per_100g,Vit_C_mg_per_100g,Vit_D_ug_per_100g,Vit_E_mg_per_100g,Vit_B1_mg_per_100g,Iron_mg_per_100g,Calcium_mg_per_100g,Potassium_mg_per_100g,Polyphenols_mg_per_100g,Phytosterols_mg_per_100g
F002301,808.9,0.0,91.9,0.0,0.0,572.26,37.92,7.94,6.01,0.533,5.36,4.46,415.27,197.99,41.26
F002302,575.4,29.9,49.4,20.0,10.0,1002.7,0.03,6.0,6.42,0.22,13.22,226.17,79.8,263.34,10.19
F002303,54.8,0.7,1.0,22.8,3.0,780.48,61.9,6.18,0.74,1.487,12.0,327.67,253.72,168.99,99.08
F002304,247.6,15.2,8.1,5.7,0.0,472.86,14.34,4.52,1.56,1.29,10.5,118.84,385.34,191.17,3.72
F002305,626.8,17.9,58.8,25.9,10.9,432.5,78.38,3.84,0.01,0.063,6.67,114.84,379.29,73.33,113.71
F002306,600.2,20.5,46.5,11.3,6.8,460.31,19.48,3.14,9.61,1.071,3.47,26.8,442.28,14.98,116.51
F002307,32.2,5.1,0.6,10.1,5.4,545.65,58.75,2.5,3.66,1.176,7.27,291.52,296.92,213.24,100.64
F002308,186.5,25.1,10.8,0.0,0.0,85.9,70.88,7.15,2.5,0.281,1.76,195.13,595.82,174.28,58.72
F002309,36.5,1.4,0.8,24.2,3.4,426.24,68.68,2.23,0.58,0.992,5.24,116.18,193.34,92.75,176.47
F002310,302.7,22.0,4.3,54.3,8.4,996.66,44.68,1.74,1.87,0.237,0.27,90.06,687.92,101.07,122.87
F002311,357.1,10.4,9.6,51.3,10.3,1130.18,34.4,1.0,1.29,0.075,3.87,133.1,438.52,40.9,145.49
F002312,586.6,13.5,48.5,27.8,10.4,1057.57,64.97,1.83,7.56,1.464,5.72,100.76,410.39,124.59,81.95
F002313,88.2,11.6,12.5,9.1,0.0,626.24,31.47,4.76,2.43,0.628,8.28,244.13,742.01,107.46,8.85
F002314,95.3,0.5,0.1,10.2,1.1,213.91,5.31,1.61,5.75,1.439,2.18,21.61,360.56,150.3,13.65
F002315,324.4,5.2,5.5,59.7,19.1,615.49,71.43,7.12,5.28,1.063,7.91,171.52,640.83,278.52,154.9
F002316,115.9,28.4,4.6,0.0,0.0,519.5,62.05,1.36,4.99,1.462,0.37,71.79,677.35,173.46,94.23
F002317,358.6,21.1,4.1,51.1,7.6,385.98,55.24,4.37,0.78,0.113,8.02,246.18,81.27,130.95,136.98
F002318,194.5,0.5,4.9,17.0,0.0,758.06,2.33,5.49,9.94,1.38,2.95,136.07,760.47,251.94,10.96
F002319,516.7,19.9,43.5,11.1,9.7,880.18,11.66,5.73,4.8,0.461,3.69,239.92,606.18,120.43,165.46
F002320,804.2,0.0,92.2,0.0,0.0,61.31,76.52,3.55,3.93,0.051,12.4,347.18,268.87,62.58,174.5
F002321,314.9,18.6,4.7,51.2,5.2,347.23,28.27,7.53,4.65,0.994,3.74,43.62,17.94,149.72,4.5
F002322,86.7,4.3,1.6,35.6,0.0,935.16,72.33,0.9,1.62,0.744,13.54,224.52,641.31,197.11,58.02
F002323,16.5,3.6,3.9,50.0,0.0,406.73,0.16,2.48,8.62,1.091,13.73,137.39,694.42,95.26,151.18
F002324,182.4,15.6,8.9,0.0,0.0,112.18,37.43,6.87,8.46,1.491,2.67,38.6,356.43,119.85,56.73
F002325,33.8,4.3,3.8,17.8,0.0,1179.1,62.66,6.29,4.91,0.229,7.85,324.85,416.82,266.37,101.27
F002326,878.0,0.0,92.2,0.0,0.0,835.98,14.53,6.6,3.04,0.118,11.25,9.09,487.54,39.72,24.49
F002327,133.8,4.1,0.5,40.7,0.0,686.74,21.25,2.36,3.47,0.119,12.22,308.38,338.09,150.12,166.26
F002328,275.1,10.7,8.7,40.5,17.3,176.41,5.48,0.03,4.87,1.299,4.87,4.17,667.13,169.22,34.51
F002329,859.2,0.0,94.5,0.0,0.0,517.8,24.06,5.95,8.12,1.241,9.91,19.19,207.21,235.66,121.75
F002330,802.5,0.0,90.4,0.0,0.0,153.31,45.54,2.45,8.62,1.197,1.73,365.62,663.22,215.44,152.85
F002331,325.0,20.8,1.8,59.9,10.1,149.92,28.44,1.92,5.72,1.204,1.29,67.33,736.43,179.92,50.82
F002332,825.7,0.0,97.5,0.0,0.0,794.32,30.46,4.93,3.02,0.973,10.73,5.59,359.99,184.62,127.41
F002333,827.7,0.0,94.3,0.0,0.0,911.94,78.29,6.43,2.29,0.865,8.69,56.35,253.83,299.04,190.01
F002334,164.7,16.6,13.2,0.0,0.0,191.98,67.21,7.39,0.38,0.002,9.88,226.28,787.91,288.44,20.52
F002335,350.7,10.5,3.8,70.4,2.4,281.17,2.61,1.93,5.92,0.724,11.67,266.13,590.59,31.54,42.98
F002336,303.7,24.0,1.1,51.2,7.7,118.15,56.79,6.11,8.83,0.499,6.24,30.67,337.31,8.49,195.86
F002337,106.9,4.3,0.3,17.2,0.0,154.49,47.47,0.5,8.15,1.035,12.03,319.07,68.19,150.13,196.82
F002338,859.6,0.0,90.9,0.0,0.0,1093.6,16.59,0.17,6.38,1.367,2.17,121.59,345.33,252.94,120.35
F002339,560.0,29.5,45.2,25.3,8.5,1038.53,51.4,2.17,0.42,1.371,14.46,328.39,43.69,165.49,61.0
F002340,372.5,5.1,6.8,37.5,16.9,16.42,67.07,4.97,9.2,1.381,0.37,376.46,784.2,45.31,164.77
F002341,360.4,5.9,6.1,41.7,23.0,989.9,78.81,6.65,7.03,0.348,5.55,34.08,528.96,86.29,113.42
F002342,133.1,22.9,8.0,0.0,0.0,546.9,8.58,2.63,4.89,0.785,0.62,125.48,412.47,44.39,128.26
F002343,861.5,0.0,96.2,0.0,0.0,599.31,77.29,7.1,7.36,0.35,8.0,249.77,563.2,247.24,45.94
F002344,309.9,19.1,4.1,53.8,7.4,657.59,65.33,5.76,6.15,0.922,12.69,132.6,786.54,216.7,60.52
F002345,144.8,22.7,18.6,0.0,0.0,1060.68,42.28,6.4,5.95,0.121,7.0,2.38,616.08,266.95,83.87
F002346,323.2,7.2,2.8,74.8,1.5,371.55,35.66,6.82,8.1,0.89,12.32,152.76,223.33,243.37,143.72
F002347,176.8,2.3,1.2,9.6,0.0,178.67,71.87,6.42,3.54,0.137,14.11,105.17,186.97,162.65,58.22
F002348,584.7,11.3,59.1,29.4,11.8,989.84,55.56,3.79,5.09,0.71,1.28,180.85,491.58,180.44,97.83
F002349,215.7,16.0,9.0,0.0,0.0,157.19,11.11,5.58,1.54,0.194,12.6,248.16,88.45,146.98,190.16
F002350,110.1,1.1,3.5,4.6,0.0,612.81,34.61,1.97,3.02,0.553,10.16,256.98,630.95,6.29,176.3
F002351,64.7,3.2,0.6,15.8,3.2,296.99,53.29,1.36,6.03,1.352,12.98,64.66,19.61,73.29,78.22
F002352,98.5,0.4,0.9,10.4,2.3,880.77,50.82,4.68,1.87,0.288,1.31,96.89,538.55,183.85,32.5
F002353,121.6,1.2,0.7,4.2,0.0,515.79,70.21,0.98,8.24,1.32,6.4,340.61,369.76,222.07,87.77
F002354,143.6,15.4,14.3,0.0,0.0,901.79,60.71,2.8,8.86,1.039,1.43,54.71,18.3,233.59,102.21
F002355,129.8,4.0,1.9,22.7,0.0,306.81,45.41,7.3,2.36,0.428,4.56,71.36,114.01,48.44,38.39
F002356,320.6,8.1,2.2,72.2,2.6,221.99,13.54,7.7,9.04,0.907,2.0,28.52,131.29,52.86,154.64
F002357,336.8,8.2,3.4,76.4,1.6,195.32,63.15,3.97,5.77,0.547,8.93,196.94,621.01,268.99,149.48
F002358,338.9,20.8,1.9,51.1,6.3,1021.4,59.56,6.42,2.77,1.144,5.8,114.96,264.56,258.29,176.48
F002359,858.2,0.0,91.1,0.0,0.0,904.02,36.83,1.81,7.07,1.254,12.37,322.13,616.63,92.78,124.95
F002360,49.0,0.8,0.4,15.3,2.1,146.64,53.29,1.38,1.57,0.895,1.01,217.85,304.58,292.64,119.52
F002361,412.2,8.3,10.5,58.3,11.2,876.44,53.74,3.41,7.72,0.865,7.88,5.29,573.83,113.07,99.57
F002362,618.5,17.4,41.5,18.1,10.8,357.95,49.3,5.92,1.4,0.902,12.05,290.56,747.43,252.12,140.34
F002363,368.7,11.6,2.2,75.0,2.8,610.5,75.8,3.66,9.63,0.556,9.87,341.7,264.42,109.06,152.41
F002364,542.1,29.8,45.0,24.5,11.4,696.55,6.49,6.69,5.85,0.293,7.84,146.12,720.23,15.14,77.08
F002365,49.7,1.0,0.8,11.7,3.9,829.12,44.77,6.62,3.08,0.545,6.64,26.65,755.89,90.72,159.59
F002366,65.7,1.4,0.2,9.0,1.4,61.49,7.06,7.64,5.1,1.394,13.63,275.35,240.63,196.55,0.05
F002367,344.5,6.8,2.5,71.0,1.7,152.55,35.2,3.93,4.06,0.007,0.68,180.42,431.0,207.41,42.25
F002368,154.2,3.7,2.5,39.0,0.0,739.34,22.18,2.53,3.84,1.253,8.46,177.04,532.45,275.58,124.18
F002369,565.3,14.5,54.1,11.6,8.8,715.91,35.21,6.57,8.61,0.689,8.15,330.51,241.28,155.9,60.59
F002370,297.0,20.3,10.9,6.3,0.0,927.1,9.61,2.12,1.14,1.077,4.62,71.27,197.53,155.27,173.15
F002371,355.7,9.4,5.3,52.4,22.2,18.37,20.87,1.2,9.33,1.279,6.54,271.41,203.3,194.81,83.18
F002372,22.0,3.7,0.8,24.1,0.0,725.83,41.01,2.95,5.7,0.607,9.47,30.88,79.38,277.07,174.72
F002373,75.3,3.3,0.1,37.4,0.0,361.81,14.88,7.5,7.58,0.082,7.01,358.14,227.92,30.15,92.36
F002374,330.5,19.0,3.5,52.4,11.3,939.88,62.48,2.18,8.58,1.026,13.58,205.19,752.34,145.08,93.55
F002375,74.0,3.9,1.4,18.3,4.4,881.33,36.68,0.48,5.46,0.514,5.13,157.17,216.76,224.76,86.61
F002376,221.4,16.5,20.3,5.4,0.0,879.37,56.42,3.8,8.84,1.134,12.83,103.62,261.98,65.72,16.6
F002377,151.0,15.7,13.6,0.0,0.0,94.5,13.69,1.67,8.7,0.77,11.21,92.24,342.79,95.52,123.54
F002378,85.0,2.4,1.1,13.9,1.4,42.1,55.76,4.36,9.81,0.063,7.26,313.18,391.11,37.5,101.62
F002379,20.1,3.7,1.1,44.6,0.0,277.87,1.75,3.16,1.91,0.74,8.45,160.24,66.54,50.58,116.35
F002380,127.7,0.6,0.8,4.0,0.0,915.52,35.41,5.85,6.37,1.094,7.57,326.48,223.77,257.15,0.42
F002381,642.3,25.8,41.1,16.2,12.0,904.14,39.2,6.85,3.28,1.153,1.6,369.47,229.6,1.1,20.88
F002382,354.1,7.0,2.0,73.0,1.4,920.71,27.83,4.26,6.07,0.188,8.25,153.56,662.06,55.06,113.49
F002383,623.2,29.4,58.7,14.8,5.1,1158.63,9.51,1.43,4.7,0.911,4.47,151.23,731.43,255.26,13.21
F002384,312.6,18.2,4.8,57.8,5.4,426.19,58.96,6.74,2.75,1.235,12.99,58.44,359.83,213.36,90.48
F002385,8.2,1.7,0.4,46.5,0.0,962.1,23.52,6.28,5.99,0.908,6.09,156.74,120.1,74.75,45.73
F002386,323.8,8.0,11.7,33.9,22.1,560.6,63.25,4.9,4.05,1.009,13.97,168.31,184.07,258.55,115.09
F002387,195.5,2.5,2.4,13.3,0.0,754.61,63.88,2.2,6.77,1.325,13.69,340.96,73.5,95.41,151.57
F002388,307.3,21.8,2.8,53.5,10.9,545.49,77.83,5.32,3.17,0.286,1.57,319.24,242.22,209.05,16.33
F002389,335.8,9.6,12.6,46.8,13.7,329.98,55.94,1.35,6.21,0.79,6.34,50.04,131.67,202.16,170.24
F002390,83.6,4.0,1.5,2.9,3.9,849.61,19.44,6.21,2.82,0.535,5.6,202.73,489.0,90.67,47.74
F002391,304.5,23.3,4.3,55.9,9.0,877.81,4.33,2.0,9.3,0.578,13.85,172.47,20.91,244.82,111.12
F002392,364.0,7.7,3.4,73.0,1.8,1152.96,33.77,1.72,9.07,1.363,8.47,187.64,483.31,1.22,88.26
F002393,888.0,0.0,90.2,0.0,0.0,193.12,31.59,5.68,9.55,1.468,14.79,247.91,72.64,228.28,90.12
F002394,52.0,1.6,0.2,15.8,1.8,259.17,48.1,4.68,4.56,1.259,4.38,328.9,163.94,122.31,190.98
F002395,846.8,0.0,98.7,0.0,0.0,653.24,37.71,7.45,1.81,0.399,6.56,238.35,402.56,212.9,162.35
F002396,69.0,0.6,0.8,10.9,4.7,372.36,46.79,5.22,3.13,0.921,13.92,130.31,176.8,139.45,157.06
F002397,73.1,1.2,0.5,18.6,2.5,819.71,28.09,4.94,3.07,0.146,7.4,236.77,697.32,247.5,76.48
F002398,616.2,13.7,55.8,16.6,7.0,1182.75,3.66,2.81,2.95,0.941,7.42,198.08,57.43,284.53,106.61
F002399,338.1,10.1,1.4,77.0,2.3,199.61,78.07,0.39,5.2,0.832,10.05,292.76,606.27,132.53,152.27
F002400,367.6,10.9,2.9,77.3,2.3,596.27,20.53,1.53,9.9,1.113,5.37,12.14,40.74,230.89,158.26
F002401,629.0,10.2,59.9,24.0,6.8,931.71,35.47,4.68,4.27,1.032,3.28,372.0,693.33,38.96,140.49
F002402,140.0,27.0,15.4,0.0,0.0,970.77,73.88,4.72,0.84,0.275,13.33,193.5,245.47,61.22,6.7
F002403,59.4,0.8,0.9,7.7,2.2,567.46,63.49,4.64,3.99,0.337,10.37,272.25,673.77,13.88,119.25
F002404,67.9,2.2,0.1,9.5,2.7,1050.41,72.25,0.59,0.8,0.187,1.81,203.74,122.96,280.49,192.86
F002405,315.2,20.5,1.9,52.5,8.1,441.29,71.04,1.61,6.7,0.169,4.24,378.77,154.74,181.22,84.87
F002406,112.6,2.7,1.5,23.8,0.0,1028.75,76.8,0.59,2.04,1.381,1.05,388.81,281.18,25.62,96.3
F002407,236.7,6.1,2.0,5.3,0.0,1068.23,44.46,6.8,1.78,1.385,12.15,280.93,559.98,109.6,132.16
F002408,161.6,1.8,2.1,20.9,0.0,405.73,15.93,1.09,0.86,0.148,10.37,271.69,773.17,249.52,50.1
F002409,240.4,24.3,18.8,0.0,0.0,213.1,42.12,0.97,9.57,0.01,1.76,395.5,744.35,58.78,137.18
F002410,318.4,22.2,2.8,55.0,5.9,260.43,1.01,3.84,9.02,1.246,8.67,384.88,368.56,249.78,90.49
F002411,77.2,1.5,0.9,18.1,4.2,223.51,58.5,4.68,7.49,1.169,8.01,329.5,42.45,105.73,183.07
F002412,884.8,0.0,96.0,0.0,0.0,930.88,21.06,5.4,6.19,1.467,5.41,354.25,398.83,38.31,81.78
F002413,300.2,7.4,10.4,36.3,29.1,915.3,0.58,4.79,7.6,0.991,11.32,249.7,158.24,2.51,177.14
F002414,623.9,16.0,50.8,26.2,10.0,1103.39,11.16,2.62,4.04,0.873,8.31,205.06,161.93,289.9,30.97
F002415,836.7,0.0,93.3,0.0,0.0,717.59,68.05,2.77,2.77,0.252,12.39,209.96,298.82,32.97,82.14
F002416,270.9,6.0,6.6,50.7,13.3,737.69,43.08,5.95,3.76,0.173,5.24,129.14,228.95,207.48,81.47
F002417,570.1,10.1,49.0,29.5,6.9,115.63,0.2,1.52,3.68,0.768,5.71,77.77,34.55,23.82,153.83
F002418,328.3,21.4,1.9,59.7,10.5,956.63,50.64,3.86,6.66,0.132,13.12,363.42,125.17,175.74,18.5
F002419,810.2,0.0,91.1,0.0,0.0,182.12,24.01,7.89,4.04,0.427,4.07,258.57,498.65,122.54,104.13
F002420,21.5,0.6,0.4,19.8,3.3,1168.87,54.23,7.77,5.23,1.192,1.28,392.25,382.07,146.78,102.89
F002421,153.2,18.7,16.9,0.0,0.0,509.18,54.72,6.42,6.85,0.471,0.08,136.32,473.73,53.27,40.31
F002422,834.3,0.0,92.4,0.0,0.0,979.04,15.42,2.63,0.37,1.119,12.92,185.98,291.57,95.75,172.14
F002423,117.1,0.4,4.2,41.6,0.0,933.4,70.55,1.43,6.42,0.691,8.17,121.55,300.14,288.33,27.98
F002424,109.5,2.6,0.9,38.1,0.0,381.06,26.59,6.33,9.14,0.94,6.47,94.7,45.02,284.2,166.44
F002425,378.5,11.2,8.1,34.3,24.3,174.38,20.86,0.73,0.62,0.41,1.97,263.7,82.58,193.9,17.56
F002426,59.7,4.1,0.3,12.4,2.0,39.55,73.77,6.6,1.62,0.287,8.24,97.75,620.89,11.76,114.81
F002427,81.7,1.3,0.8,9.9,2.1,519.92,41.75,2.93,3.77,0.662,6.27,242.22,368.25,95.43,134.03
F002428,343.8,23.2,1.4,58.0,10.6,947.65,23.94,6.34,7.21,0.206,8.63,108.61,751.91,220.97,24.68
F002429,807.2,0.0,90.9,0.0,0.0,206.75,48.54,5.18,7.13,0.007,11.23,28.72,388.29,287.75,61.17
F002430,192.5,29.9,9.0,0.0,0.0,216.69,37.47,3.52,9.71,0.999,8.3,392.65,142.73,191.51,173.78
F002431,220.6,26.6,9.1,0.0,0.0,1154.93,5.12,0.55,9.47,0.812,10.82,175.87,182.82,240.45,179.07
F002432,307.9,19.0,5.0,52.6,10.6,746.47,4.56,3.51,1.74,0.218,10.95,12.3,626.57,64.22,2.39
F002433,218.9,12.9,7.8,6.4,0.0,537.6,28.61,2.04,9.14,0.018,5.36,296.61,694.29,229.67,163.44
F002434,26.5,4.2,0.8,17.6,4.9,259.02,12.17,0.39,5.05,1.069,14.76,301.61,306.33,118.72,57.33
F002435,164.3,0.8,1.3,31.0,0.0,11.05,67.95,0.42,7.49,0.344,9.97,317.73,497.25,297.01,143.89
F002436,45.3,4.1,0.7,15.8,2.1,976.58,68.76,0.22,1.94,0.867,9.41,242.07,629.15,131.49,171.86
F002437,331.6,5.9,6.6,53.8,29.1,633.34,33.44,5.88,4.75,0.29,3.43,33.93,96.15,179.91,140.1
F002438,346.3,11.0,3.0,73.8,1.1,36.25,46.51,0.36,5.86,1.427,9.79,302.51,18.38,277.64,125.45
F002439,854.4,0.0,91.5,0.0,0.0,32.06,7.35,7.23,2.35,1.419,6.48,317.88,759.88,12.18,108.46
F002440,548.7,15.7,50.3,20.3,8.6,648.93,37.69,1.82,1.85,0.714,13.16,92.03,434.6,140.36,173.71
F002441,292.2,12.2,22.1,2.8,0.0,1084.81,39.14,4.83,2.82,0.81,11.23,13.48,402.15,263.48,131.93
F002442,354.0,18.7,1.4,58.0,5.9,308.54,74.44,3.23,2.09,0.089,8.58,91.12,461.92,174.23,117.28
F002443,58.7,1.6,0.9,11.7,1.2,68.23,25.49,2.61,2.05,0.329,1.86,94.61,10.99,182.51,61.29
F002444,320.1,24.6,3.2,57.5,10.8,269.52,29.58,6.96,3.84,0.023,8.62,281.04,242.24,209.98,58.77
F002445,830.1,0.0,95.9,0.0,0.0,444.65,23.54,1.97,4.75,0.296,12.2,246.79,768.17,16.43,171.63
F002446,311.3,21.2,1.5,60.0,9.5,541.53,47.05,4.91,9.39,0.825,7.26,242.99,88.64,144.22,194.47
F002447,154.9,15.7,12.5,0.0,0.0,519.3,52.07,4.37,5.59,0.115,8.57,351.0,656.54,77.96,98.39
F002448,835.1,0.0,93.4,0.0,0.0,342.86,19.8,7.41,5.51,0.223,6.52,116.47,272.72,237.77,188.73
F002449,267.0,20.8,12.7,4.7,0.0,935.35,29.44,1.73,5.72,1.36,2.28,388.0,357.79,177.7,72.21
F002450,404.7,7.1,7.8,36.8,16.1,914.1,68.83,4.63,6.93,0.758,7.11,363.31,720.17,213.79,108.19
F002451,92.4,2.0,0.4,7.5,4.0,860.58,26.93,7.91,6.86,1.205,11.65,168.32,574.34,235.43,93.66
F002452,328.3,10.1,4.5,74.9,2.2,193.23,1.75,0.73,7.68,0.418,0.47,329.46,351.82,84.69,59.42
F002453,43.4,4.3,1.2,7.7,3.7,673.78,64.79,7.43,0.29,0.698,9.04,272.67,235.32,60.16,180.45
F002454,288.0,3.1,2.0,8.9,0.0,336.25,36.58,5.86,2.99,1.15,0.66,34.86,304.47,84.67,181.42
F002455,316.6,21.0,3.3,50.4,12.0,419.97,35.42,1.52,1.08,0.26,5.1,131.56,119.32,139.63,125.17
F002456,582.1,29.0,56.5,19.2,8.5,699.2,39.31,7.25,3.43,1.401,8.9,293.11,376.33,192.21,107.84
F002457,198.5,27.2,17.8,0.0,0.0,1192.49,68.61,6.48,6.71,0.979,3.68,166.4,481.42,97.24,3.89
F002458,839.8,0.0,97.5,0.0,0.0,907.98,54.11,4.36,4.47,1.029,7.82,9.66,434.31,278.82,187.0
F002459,343.6,8.0,2.6,73.2,1.1,772.18,22.91,6.96,6.58,1.291,4.92,234.87,286.92,66.55,0.18
F002460,42.6,3.5,4.3,29.7,0.0,1093.43,32.61,7.94,9.45,0.019,3.38,384.73,698.41,101.88,166.46
F002461,68.1,0.6,0.6,12.3,4.2,227.46,17.93,6.99,9.42,0.936,9.65,125.33,502.83,193.45,16.8
F002462,32.5,1.4,0.2,20.6,4.4,823.68,59.44,1.17,5.22,1.306,0.7,139.28,593.76,84.24,174.91
F002463,43.0,4.1,0.2,14.1,3.8,576.68,27.9,1.33,8.68,0.727,0.92,213.54,176.51,186.5,183.76
F002464,196.6,13.5,3.5,4.4,0.0,4.55,50.27,4.34,4.45,0.601,13.28,103.35,261.6,253.44,190.24
F002465,64.4,0.4,0.9,19.3,2.0,157.36,32.22,7.72,6.92,1.154,8.23,217.48,476.76,236.8,68.19
F002466,845.8,0.0,99.5,0.0,0.0,1011.13,0.54,1.55,2.96,1.161,0.71,339.43,46.95,134.48,57.39
F002467,896.6,0.0,98.4,0.0,0.0,1120.6,27.69,4.05,8.01,0.648,7.59,192.49,188.64,290.4,96.53
F002468,346.7,8.6,7.3,30.2,14.7,404.68,13.72,7.05,5.93,0.891,9.06,379.74,418.1,263.39,27.68
F002469,218.4,16.2,14.5,0.0,0.0,700.81,36.7,4.54,6.97,0.142,3.61,173.91,286.65,104.28,38.49
F002470,56.1,1.4,0.9,9.1,4.7,202.29,61.71,2.53,5.77,0.686,2.18,77.39,59.75,68.07,142.97
F002471,56.1,1.1,0.3,7.3,1.8,308.09,77.28,3.05,3.03,1.157,2.51,20.25,390.62,181.21,170.14
F002472,332.2,6.2,7.6,36.8,20.8,788.69,21.83,7.6,3.3,0.13,8.74,302.91,554.81,180.5,165.88
F002473,68.1,1.0,1.0,7.3,3.3,59.82,53.94,7.03,4.35,0.127,1.45,45.76,111.67,174.28,158.33
F002474,857.5,0.0,93.9,0.0,0.0,246.85,60.72,0.3,0.39,0.649,9.81,388.61,520.84,45.54,45.88
F002475,893.1,0.0,90.9,0.0,0.0,524.27,67.24,4.41,5.91,0.121,10.93,228.08,557.6,166.11,124.64
F002476,47.7,2.6,0.9,8.4,2.3,37.87,74.47,2.62,8.29,0.231,6.75,355.22,15.92,193.19,57.47
F002477,192.4,25.0,9.9,0.0,0.0,954.31,41.87,7.77,2.98,0.094,4.21,45.29,425.84,271.07,3.63
F002478,87.1,1.3,1.0,21.7,1.0,997.92,74.61,6.94,2.56,0.245,14.49,321.71,165.99,296.07,184.91
F002479,118.5,27.4,19.3,0.0,0.0,779.2,45.55,6.68,1.47,0.965,13.59,76.07,531.24,174.44,125.39
F002480,861.3,0.0,95.1,0.0,0.0,308.29,39.5,7.42,8.92,1.05,9.25,295.72,649.91,261.11,162.85
F002481,198.4,4.9,0.2,14.2,0.0,661.35,34.21,5.51,2.07,0.38,13.34,367.64,15.99,187.24,42.27
F002482,18.8,1.2,0.4,6.2,1.1,203.55,44.15,3.47,0.23,0.834,7.47,126.49,663.57,246.11,106.31
F002483,40.9,0.4,0.5,14.3,1.6,271.83,57.17,5.19,3.23,0.232,8.48,18.51,50.91,23.94,99.76
F002484,857.3,0.0,93.4,0.0,0.0,539.85,49.97,3.75,9.19,0.571,8.41,309.39,639.03,225.12,187.98
F002485,308.3,20.6,1.5,52.6,9.4,217.69,55.23,0.96,6.12,1.473,6.01,84.16,655.12,187.41,175.0
F002486,172.4,18.5,12.8,0.0,0.0,793.49,74.74,1.4,6.08,0.152,6.44,303.3,573.49,292.44,16.58
F002487,644.1,20.9,54.3,20.5,10.6,806.67,37.76,4.11,8.99,0.863,9.57,12.19,29.91,103.51,34.27
F002488,305.9,22.9,1.8,53.5,11.0,1011.6,41.13,2.94,1.2,0.665,10.56,1.06,714.29,210.9,134.16
F002489,566.5,24.4,50.4,20.1,8.8,558.71,10.05,5.57,5.76,0.603,2.48,310.77,165.69,292.59,172.16
F002490,355.9,21.8,3.7,54.5,8.3,549.27,45.74,4.21,4.03,0.377,7.3,215.43,606.06,167.01,54.0
F002491,833.0,0.0,98.4,0.0,0.0,955.16,66.35,0.69,6.08,0.001,12.56,397.38,515.46,222.07,28.06
F002492,311.6,18.0,4.8,59.1,8.6,99.4,39.8,7.87,8.03,1.177,12.75,280.8,489.69,153.22,28.67
F002493,46.5,1.2,0.7,24.1,3.8,723.76,77.18,3.99,3.91,0.798,7.68,242.4,628.14,236.22,39.29
F002494,63.1,4.3,0.8,12.2,5.7,228.97,65.81,5.91,9.5,1.173,9.53,266.03,430.47,42.22,99.5
F002495,35.1,5.0,1.0,10.8,5.6,615.57,41.07,4.54,8.02,1.126,4.35,86.19,193.89,243.02,26.04
F002496,638.6,26.8,56.8,11.0,6.6,290.19,66.21,1.77,0.81,0.884,6.74,242.76,520.13,250.19,67.91
F002497,844.9,0.0,95.4,0.0,0.0,299.0,17.82,6.54,4.29,0.726,2.13,81.47,395.61,123.03,112.86
F002498,836.2,0.0,95.5,0.0,0.0,802.94,7.9,3.18,2.78,0.778,7.14,278.43,31.51,221.99,155.87
F002499,150.3,6.1,20.4,7.6,0.0,177.31,69.33,5.7,5.01,0.548,14.31,52.04,60.58,42.69,57.74
F002500,37.5,1.6,0.7,13.0,4.8,931.78,56.25,0.03,3.85,0.983,3.81,241.99,338.32,102.17,180.79
F002501,139.3,26.8,14.8,0.0,0.0,597.35,79.53,3.45,1.21,0.901,8.01,112.61,13.48,167.71,155.39
F002502,369.2,6.0,1.4,77.7,2.2,757.46,14.77,4.23,1.63,0.265,5.33,224.12,293.28,223.53,5.25
F002503,319.1,22.9,5.0,59.9,8.9,504.3,49.35,5.69,7.29,0.239,3.46,321.28,466.01,274.97,135.64
F002504,55.1,1.5,0.8,20.1,1.8,241.75,38.65,5.76,5.8,0.628,0.7,54.85,421.25,205.83,80.77
F002505,249.0,21.3,5.3,0.0,0.0,718.09,59.06,2.4,4.92,0.739,8.77,324.12,118.56,89.81,108.14
F002506,60.2,17.6,19.6,9.3,0.0,774.61,74.37,0.84,7.63,0.126,11.86,86.47,375.03,271.83,119.75
F002507,151.8,0.6,0.6,14.5,0.0,335.91,42.54,1.5,9.45,1.43,12.65,206.18,199.36,104.73,144.81
F002508,112.8,9.2,20.2,7.7,0.0,256.45,7.28,0.6,7.61,0.722,1.01,339.88,400.95,44.4,180.84
F002509,634.5,17.5,48.5,12.2,6.5,1044.08,3.68,3.49,9.72,1.402,14.82,398.15,131.09,31.17,25.54
F002510,131.3,24.3,7.5,3.0,0.0,505.77,2.23,4.72,5.06,0.33,12.55,65.94,129.74,66.02,96.01
F002511,52.4,1.1,0.6,13.9,3.0,453.48,60.58,4.76,3.89,1.422,10.92,354.12,30.39,111.23,188.43
F002512,85.0,2.0,1.4,8.7,4.3,63.58,25.29,5.61,8.89,1.019,0.37,135.69,265.27,144.24,110.37
F002513,88.2,3.1,1.4,9.2,4.4,129.09,73.48,7.97,1.84,0.392,9.73,162.01,594.58,227.49,149.34
F002514,86.2,1.6,0.2,9.5,4.0,79.39,8.52,6.63,2.98,1.353,0.48,169.34,682.02,131.46,117.12
F002515,346.6,7.2,1.1,76.3,2.4,1159.21,6.67,7.53,1.75,0.272,9.19,361.27,169.6,227.24,199.54
